ID,X,Y,Z,Bearing,Diameter,dx,dy
7,,,,,,-8424.491,11108.467
8,,,,,,-8425.004,11110.945
9,,,,,,-8425.570,11114.009
10,,,,,,-8426.082,11115.436
11,,,,,,-8428.024,11116.935
12,,,,,,-8430.362,11118.017
