ID,X,Y,Z,Bearing,Diameter,dx,dy
0,,,,,,-8425.2014745,11108.8107880
1,,,,,,-8423.7962260,11110.2617290
2,,,,,,-8422.9928360,11111.6167038
3,,,,,,-8422.0304138,11114.1992056
